id,agent,start,end,direction,status,activity,comment
,vsilchenko,2025-10-17T14:00:00,2025-10-17T23:00:00,calls,work,,
,vsilchenko,2025-10-18T15:00:00,2025-10-19T00:00:00,calls,work,,
,vsilchenko,2025-10-20T15:00:00,2025-10-21T00:00:00,calls,work,,
,vsilchenko,2025-10-21T15:00:00,2025-10-22T00:00:00,calls,work,,
,vsilchenko,2025-10-22T22:00:00,2025-10-23T07:00:00,calls,work,,
,vsilchenko,2025-10-25T06:00:00,2025-10-25T15:00:00,calls,work,,
,vsilchenko,2025-10-26T16:00:00,2025-10-27T01:00:00,calls,work,,
,vsilchenko,2025-10-27T15:00:00,2025-10-28T00:00:00,calls,work,,
,vsilchenko,2025-10-28T22:00:00,2025-10-29T07:00:00,calls,work,,
,vsilchenko,2025-10-30T15:00:00,2025-10-31T00:00:00,calls,work,,
,vsilchenko,2025-10-31T15:00:00,2025-11-01T00:00:00,calls,work,,
,dnedoliz,2025-10-03T09:00:00,2025-10-03T18:00:00,calls,work,,
,dnedoliz,2025-10-04T07:00:00,2025-10-04T16:00:00,calls,work,,
,dnedoliz,2025-10-05T07:00:00,2025-10-05T16:00:00,calls,work,,
,dnedoliz,2025-10-07T07:00:00,2025-10-07T16:00:00,calls,work,,
,dnedoliz,2025-10-09T16:00:00,2025-10-10T01:00:00,calls,work,,
,dnedoliz,2025-10-10T14:00:00,2025-10-10T23:00:00,calls,work,,
,dnedoliz,2025-10-11T15:00:00,2025-10-12T00:00:00,calls,work,,
,dnedoliz,2025-10-13T07:00:00,2025-10-13T16:00:00,calls,work,,
,dnedoliz,2025-10-15T07:00:00,2025-10-15T16:00:00,calls,work,,
,dnedoliz,2025-10-17T16:00:00,2025-10-18T01:00:00,calls,work,,
,dnedoliz,2025-10-18T16:00:00,2025-10-19T01:00:00,calls,work,,
,dnedoliz,2025-10-19T13:00:00,2025-10-19T16:00:00,calls,work,,
,dnedoliz,2025-10-20T15:00:00,2025-10-21T00:00:00,calls,work,,
,dnedoliz,2025-10-24T15:00:00,2025-10-25T00:00:00,calls,work,,
,dnedoliz,2025-10-27T22:00:00,2025-10-28T07:00:00,calls,work,,
,dnedoliz,2025-10-29T14:00:00,2025-10-29T23:00:00,calls,work,,
,dnedoliz,2025-10-30T16:00:00,2025-10-31T01:00:00,calls,work,,
